,Blackboard,EdX,Moodle,Duolingo,Khan Academy
,https://help.blackboard.com/en-us/Learn/9.1_SP_10_and_SP_11/Instructor/070_Tests_Surveys_Pools/100_Question_Types,http://edx-partner-course-staff.readthedocs.org/en/latest/creating_content/create_problem.html,https://docs.moodle.org/28/en/Question_types,http://duolingo.wikia.com/wiki/Exercise,http://khanacademy.wikia.com/wiki/Category:Math_exercises
Video,x,x,x,,x
Page,x,x,x,,
Audio,,,,,
Slideshow,,,,,
Choice,x,x,x,x,x
Number,x,x,x,,x
Match,x,x,x,x,x
Writing,x,x,x,x,
Upload,x,,,,
Embed,,x,,,x
-----,,,,,
Formula-based Number,x,,x,,x
Hotspot (Image map),x,x,,,
Ordering,x,,,,
Schematics,,x,,,
Matching Game,x,x,x,x,
Microphone,,,,x,
